DocID,DocName,HeaderText,HeaderID,headerType,ChairCeoFlag,HeaderPage,ActualPage,EndPage,reportYear,wordCount,flesch,fog,PageNumberExist,Front_1,Rear_1,Front_2,Rear_2,FileNameFlag,reportNumOfPages,performanceFlag,strategyFlag,sectionNumberPages,forwardLooking,LMnegativity,LMpositivity,HenryNeg2006,HenryPos2006,HenryNeg2008,HenryPos2008,uncertainty,causal,Causal_Martin,performance,userKeywords,bookletFlag,No TOC,PI Used?
1,"AI CLAIM SOLUTIONS PLC  REPORT AND ACCOUNTS 2007.pdf","About Ai Claims Solutions",1,0,0,2,4,5,,641,35.705721538461574,21.455384615384617,,1,0,1,0,0,52,0,0,2,5,37,20,0,12,0,12,24,4,2,7,4,0,0,0
1,"AI CLAIM SOLUTIONS PLC  REPORT AND ACCOUNTS 2007.pdf","Why our ethical business model is a recipe for success",2,0,0,4,6,7,,302,13.00128027681663,27.448541769649037,,1,0,1,0,0,52,1,1,2,2,13,22,6,12,6,12,25,4,4,6,4,0,0,0
1,"AI CLAIM SOLUTIONS PLC  REPORT AND ACCOUNTS 2007.pdf","Questions and answers",3,0,0,6,8,9,,923,60.97438803512625,14.537423823763204,,1,0,1,0,0,52,0,0,2,13,14,32,2,15,2,14,42,9,4,2,9,0,0,0
1,"AI CLAIM SOLUTIONS PLC  REPORT AND ACCOUNTS 2007.pdf","How have we performed?",4,0,0,8,10,11,,405,52.303000000000026,15.600000000000001,,1,0,1,0,0,52,0,0,2,1,11,8,2,7,2,7,15,2,1,15,2,0,0,0
1,"AI CLAIM SOLUTIONS PLC  REPORT AND ACCOUNTS 2007.pdf","Chairman's Statement",5,1,0,10,12,13,,1506,45.985842411038504,20.077269426289035,,1,0,1,0,0,52,0,0,2,17,20,65,3,53,3,52,75,28,17,26,28,0,0,0
1,"AI CLAIM SOLUTIONS PLC  REPORT AND ACCOUNTS 2007.pdf","Chief Executive's Review",6,2,0,12,14,18,,2259,47.086148674401244,19.344586566655995,,1,0,1,0,0,52,1,0,5,30,43,96,6,75,6,73,112,21,12,16,21,0,0,0
1,"AI CLAIM SOLUTIONS PLC  REPORT AND ACCOUNTS 2007.pdf","Finance Director's Review",7,6,0,17,19,19,,1101,51.025645400593476,18.491083792567476,,1,0,1,0,0,52,1,0,1,7,18,31,8,27,8,26,44,33,27,26,33,0,0,0
1,"AI CLAIM SOLUTIONS PLC  REPORT AND ACCOUNTS 2007.pdf","Board of Directors",8,0,0,18,20,20,,690,37.18097317073173,21.715512195121953,,1,0,1,0,0,52,0,0,1,1,5,12,0,8,0,8,12,3,0,1,3,0,0,0
1,"AI CLAIM SOLUTIONS PLC  REPORT AND ACCOUNTS 2007.pdf","Executive Management",9,0,0,19,21,21,,448,41.1106068735499,20.334164733178653,,1,0,1,0,0,52,0,0,1,1,15,5,0,5,0,5,4,4,1,3,4,0,0,0
1,"AI CLAIM SOLUTIONS PLC  REPORT AND ACCOUNTS 2007.pdf","Remuneration Report",10,4,0,20,22,22,,549,35.99986622073581,20.658862876254183,,1,0,1,0,0,52,0,0,1,6,4,14,3,11,3,11,21,7,1,3,7,0,0,0
1,"AI CLAIM SOLUTIONS PLC  REPORT AND ACCOUNTS 2007.pdf","Report of the Directors",11,0,0,21,23,24,,1390,43.4039381822798,23.10643745693251,,1,0,1,0,0,52,0,0,2,14,31,11,8,8,8,8,24,16,3,6,16,0,0,0
1,"AI CLAIM SOLUTIONS PLC  REPORT AND ACCOUNTS 2007.pdf","Report of the Independent Auditor to the Members of Ai Claims Solutions PLC",12,9,0,23,25,25,,725,37.67094915254239,24.498983050847457,,0,1,0,1,0,52,0,0,1,2,14,2,1,0,1,0,10,3,1,4,3,0,0,0
